time,actual_x,actual_z,predicted_x,predicted_z,drift
0.03,0.0873,-0.1893,0.096,-0.1858,0.0094
0.06,0.0978,-0.1852,0.106,-0.1815,0.009
0.09,0.1083,-0.1808,0.116,-0.1769,0.0086
0.12,0.1185,-0.1761,0.1257,-0.1721,0.0082
0.15,0.1285,-0.1711,0.1352,-0.1669,0.0079
0.18,0.1384,-0.1658,0.1445,-0.1615,0.0075
0.21,0.148,-0.1602,0.1536,-0.1559,0.0071
0.24,0.1573,-0.1543,0.1625,-0.15,0.0067
0.27,0.1664,-0.1483,0.1711,-0.1439,0.0064
0.3,0.1752,-0.1419,0.1794,-0.1376,0.006
0.33,0.1838,-0.1354,0.1874,-0.1311,0.0057
0.36,0.192,-0.1287,0.1951,-0.1244,0.0053
0.39,0.1999,-0.1218,0.2026,-0.1176,0.005
0.42,0.2075,-0.1148,0.2097,-0.1107,0.0046
0.45,0.2148,-0.1077,0.2166,-0.1037,0.0043
0.48,0.2218,-0.1005,0.2231,-0.0966,0.004
0.51,0.2285,-0.0932,0.2293,-0.0895,0.0038
0.54,0.2348,-0.0858,0.2352,-0.0823,0.0035
0.57,0.2408,-0.0784,0.2408,-0.0751,0.0033
0.6,0.2465,-0.071,0.246,-0.068,0.0031
0.63,0.2518,-0.0636,0.251,-0.0608,0.0029
0.66,0.2569,-0.0563,0.2557,-0.0537,0.0028
0.69,0.2616,-0.0489,0.2601,-0.0467,0.0028
0.72,0.266,-0.0417,0.2642,-0.0397,0.0027
0.75,0.2702,-0.0346,0.268,-0.0329,0.0028
0.78,0.274,-0.0275,0.2715,-0.0261,0.0029
0.81,0.2776,-0.0206,0.2748,-0.0195,0.003
0.84,0.2809,-0.0138,0.2778,-0.0131,0.0032
0.87,0.284,-0.0072,0.2806,-0.0068,0.0034
0.9,0.2868,-0.0008,0.2832,-0.0007,0.0036
0.93,0.2893,0.0055,0.2855,0.0052,0.0038
0.96,0.2917,0.0115,0.2877,0.0109,0.0041
0.99,0.2938,0.0174,0.2896,0.0164,0.0043
1.02,0.2958,0.023,0.2914,0.0217,0.0046
1.05,0.2975,0.0284,0.2929,0.0267,0.0049
1.08,0.2991,0.0335,0.2944,0.0315,0.0051
1.11,0.3005,0.0384,0.2957,0.0361,0.0054
1.14,0.3018,0.0431,0.2968,0.0404,0.0057
1.17,0.3029,0.0474,0.2978,0.0444,0.006
1.2,0.304,0.0515,0.2987,0.0481,0.0063
1.23,0.3048,0.0554,0.2995,0.0516,0.0066
1.26,0.3056,0.0589,0.3002,0.0548,0.0068
1.29,0.3063,0.0622,0.3008,0.0577,0.0071
1.32,0.3069,0.0651,0.3013,0.0604,0.0074
1.35,0.3074,0.0678,0.3017,0.0627,0.0077
1.38,0.3079,0.0702,0.3021,0.0647,0.008
1.41,0.3083,0.0723,0.3024,0.0665,0.0083
1.44,0.3086,0.074,0.3026,0.0679,0.0085
1.47,0.3088,0.0755,0.3028,0.0691,0.0088
1.5,0.3091,0.0767,0.3029,0.07,0.0091
1.53,0.3092,0.0776,0.303,0.0705,0.0094
1.56,0.3093,0.0781,0.3031,0.0708,0.0096
1.59,0.3094,0.0784,0.3031,0.0707,0.0099
1.62,0.3094,0.0783,0.303,0.0704,0.0102
1.65,0.3094,0.078,0.3029,0.0698,0.0105
1.68,0.3093,0.0773,0.3028,0.0688,0.0107
1.71,0.3092,0.0764,0.3026,0.0676,0.011
1.74,0.309,0.0751,0.3023,0.066,0.0113
1.77,0.3088,0.0735,0.302,0.0642,0.0116
1.8,0.3086,0.0717,0.3016,0.0621,0.0118
1.83,0.3082,0.0695,0.3011,0.0596,0.0121
1.86,0.3078,0.067,0.3006,0.0569,0.0124
1.89,0.3073,0.0643,0.3,0.0539,0.0127
1.92,0.3067,0.0612,0.2993,0.0507,0.0129
1.95,0.3061,0.0579,0.2985,0.0471,0.0132
1.98,0.3053,0.0543,0.2975,0.0433,0.0135
2.01,0.3044,0.0504,0.2965,0.0392,0.0138
2.04,0.3035,0.0462,0.2953,0.0348,0.014
2.07,0.3023,0.0418,0.294,0.0302,0.0143
2.1,0.3011,0.0371,0.2925,0.0253,0.0146
2.13,0.2997,0.0322,0.2909,0.0202,0.0148
2.16,0.2981,0.027,0.2891,0.0149,0.0151
2.19,0.2963,0.0216,0.2871,0.0093,0.0154
2.22,0.2944,0.016,0.2849,0.0036,0.0156
2.25,0.2923,0.0102,0.2825,-0.0024,0.0159
2.28,0.2899,0.0041,0.2799,-0.0085,0.0162
2.31,0.2873,-0.0021,0.277,-0.0149,0.0164
2.34,0.2846,-0.0085,0.2739,-0.0214,0.0167
2.37,0.2815,-0.0151,0.2705,-0.028,0.017
2.4,0.2782,-0.0218,0.2669,-0.0348,0.0172
2.43,0.2747,-0.0286,0.263,-0.0416,0.0175
2.46,0.2709,-0.0356,0.2589,-0.0486,0.0177
2.49,0.2668,-0.0427,0.2544,-0.0557,0.018
2.52,0.2624,-0.0498,0.2496,-0.0628,0.0182
2.55,0.2577,-0.057,0.2446,-0.07,0.0184
2.58,0.2527,-0.0642,0.2392,-0.0771,0.0187
2.61,0.2474,-0.0715,0.2336,-0.0843,0.0189
2.64,0.2419,-0.0787,0.2276,-0.0915,0.0191
2.67,0.236,-0.086,0.2213,-0.0986,0.0194
2.7,0.2298,-0.0932,0.2147,-0.1057,0.0196
2.73,0.2232,-0.1003,0.2078,-0.1127,0.0198
2.76,0.2164,-0.1074,0.2005,-0.1195,0.02
2.79,0.2093,-0.1144,0.193,-0.1263,0.0202
2.82,0.2019,-0.1212,0.1852,-0.1329,0.0204
2.85,0.1942,-0.1279,0.1771,-0.1393,0.0206
2.88,0.1862,-0.1344,0.1687,-0.1456,0.0208
2.91,0.1779,-0.1408,0.16,-0.1517,0.021
2.94,0.1694,-0.1469,0.1511,-0.1575,0.0211
2.97,0.1606,-0.1529,0.142,-0.1631,0.0213
3.0,0.1516,-0.1585,0.1326,-0.1684,0.0215
3.03,0.1424,-0.164,0.123,-0.1735,0.0216
3.06,0.133,-0.1692,0.1132,-0.1783,0.0217
3.09,0.1233,-0.1741,0.1032,-0.1827,0.0219
3.12,0.1135,-0.1787,0.0931,-0.1869,0.022
3.15,0.1036,-0.183,0.0829,-0.1908,0.0221
3.18,0.0935,-0.187,0.0725,-0.1943,0.0222
3.21,0.0833,-0.1907,0.062,-0.1975,0.0223
3.24,0.073,-0.194,0.0515,-0.2003,0.0224
3.27,0.0626,-0.1971,0.0409,-0.2029,0.0225
3.3,0.0522,-0.1997,0.0303,-0.205,0.0226
3.33,0.0418,-0.2021,0.0196,-0.2069,0.0227
3.36,0.0313,-0.2041,0.009,-0.2083,0.0227
3.39,0.0209,-0.2058,-0.0016,-0.2095,0.0228
3.42,0.0105,-0.2072,-0.0121,-0.2103,0.0228
3.45,0.0002,-0.2082,-0.0225,-0.2108,0.0229
3.48,-0.0101,-0.209,-0.0329,-0.211,0.0229
3.51,-0.0203,-0.2094,-0.0431,-0.2109,0.0229
3.54,-0.0303,-0.2095,-0.0532,-0.2104,0.0229
3.57,-0.0402,-0.2093,-0.0631,-0.2097,0.0229
3.6,-0.05,-0.2089,-0.0729,-0.2087,0.0229
3.63,-0.0596,-0.2082,-0.0824,-0.2075,0.0229
3.66,-0.069,-0.2072,-0.0918,-0.206,0.0229
3.69,-0.0782,-0.2061,-0.101,-0.2043,0.0229
3.72,-0.0872,-0.2047,-0.1099,-0.2024,0.0228
3.75,-0.096,-0.203,-0.1186,-0.2003,0.0228
3.78,-0.1045,-0.2013,-0.127,-0.198,0.0227
3.81,-0.1128,-0.1993,-0.1352,-0.1955,0.0227
3.84,-0.1208,-0.1972,-0.1431,-0.193,0.0226
3.87,-0.1286,-0.1949,-0.1507,-0.1903,0.0226
3.9,-0.1361,-0.1926,-0.158,-0.1875,0.0225
3.93,-0.1434,-0.1901,-0.1651,-0.1846,0.0224
3.96,-0.1503,-0.1876,-0.1719,-0.1817,0.0223
3.99,-0.157,-0.185,-0.1784,-0.1787,0.0223
4.02,-0.1634,-0.1824,-0.1846,-0.1757,0.0222
4.05,-0.1695,-0.1797,-0.1905,-0.1727,0.0221
4.08,-0.1754,-0.177,-0.1961,-0.1697,0.022
4.11,-0.1809,-0.1744,-0.2014,-0.1667,0.0219
4.14,-0.1862,-0.1717,-0.2064,-0.1637,0.0218
4.17,-0.1912,-0.1691,-0.2112,-0.1608,0.0217
4.2,-0.1958,-0.1666,-0.2156,-0.158,0.0216
4.23,-0.2003,-0.1641,-0.2198,-0.1553,0.0214
4.26,-0.2044,-0.1617,-0.2237,-0.1527,0.0213
4.29,-0.2082,-0.1594,-0.2273,-0.1501,0.0212
4.32,-0.2118,-0.1572,-0.2307,-0.1477,0.0211
4.35,-0.2151,-0.1551,-0.2338,-0.1455,0.021
4.38,-0.2182,-0.1531,-0.2366,-0.1433,0.0208
4.41,-0.221,-0.1512,-0.2392,-0.1414,0.0207
4.44,-0.2235,-0.1496,-0.2415,-0.1396,0.0206
4.47,-0.2258,-0.148,-0.2436,-0.1379,0.0205
4.5,-0.2278,-0.1466,-0.2454,-0.1364,0.0203
4.53,-0.2296,-0.1454,-0.2469,-0.1352,0.0202
4.56,-0.2311,-0.1444,-0.2483,-0.134,0.0201
4.59,-0.2323,-0.1435,-0.2493,-0.1331,0.0199
4.62,-0.2334,-0.1428,-0.2502,-0.1324,0.0198
4.65,-0.2341,-0.1423,-0.2508,-0.1319,0.0196
4.68,-0.2347,-0.142,-0.2512,-0.1316,0.0195
4.71,-0.2349,-0.1418,-0.2513,-0.1315,0.0194
4.74,-0.235,-0.1419,-0.2512,-0.1316,0.0192
4.77,-0.2348,-0.1421,-0.2509,-0.1318,0.0191
4.8,-0.2344,-0.1426,-0.2503,-0.1323,0.0189
4.83,-0.2337,-0.1432,-0.2495,-0.133,0.0188
4.86,-0.2328,-0.1439,-0.2484,-0.1339,0.0186
4.89,-0.2316,-0.1449,-0.2472,-0.135,0.0185
4.92,-0.2302,-0.1461,-0.2456,-0.1362,0.0183
4.95,-0.2285,-0.1474,-0.2439,-0.1377,0.0182
4.98,-0.2266,-0.1488,-0.2418,-0.1393,0.018
5.01,-0.2244,-0.1505,-0.2396,-0.1411,0.0179
5.04,-0.2219,-0.1522,-0.237,-0.143,0.0177
5.07,-0.2192,-0.1542,-0.2343,-0.1451,0.0176
5.1,-0.2162,-0.1562,-0.2312,-0.1474,0.0174
5.13,-0.213,-0.1584,-0.2279,-0.1497,0.0172
5.16,-0.2095,-0.1607,-0.2243,-0.1522,0.0171
5.19,-0.2057,-0.1631,-0.2205,-0.1549,0.0169
5.22,-0.2016,-0.1655,-0.2163,-0.1576,0.0167
5.25,-0.1973,-0.1681,-0.2119,-0.1604,0.0165
5.28,-0.1926,-0.1707,-0.2072,-0.1633,0.0163
5.31,-0.1877,-0.1734,-0.2022,-0.1662,0.0162
5.34,-0.1825,-0.1761,-0.1969,-0.1692,0.016
5.37,-0.177,-0.1788,-0.1914,-0.1722,0.0158
5.4,-0.1713,-0.1815,-0.1855,-0.1752,0.0156
5.43,-0.1652,-0.1842,-0.1794,-0.1782,0.0154
5.46,-0.1588,-0.1869,-0.1729,-0.1812,0.0152
5.49,-0.1522,-0.1895,-0.1662,-0.1841,0.015
5.52,-0.1453,-0.192,-0.1592,-0.187,0.0148
5.55,-0.1381,-0.1945,-0.1519,-0.1898,0.0145
5.58,-0.1306,-0.1969,-0.1443,-0.1925,0.0143
5.61,-0.1229,-0.1991,-0.1364,-0.1951,0.0141
5.64,-0.1149,-0.2012,-0.1283,-0.1976,0.0139
5.67,-0.1067,-0.2032,-0.1199,-0.1999,0.0136
5.7,-0.0982,-0.2049,-0.1113,-0.2021,0.0134
5.73,-0.0895,-0.2065,-0.1024,-0.204,0.0131
5.76,-0.0806,-0.2079,-0.0933,-0.2057,0.0129
5.79,-0.0715,-0.2091,-0.084,-0.2073,0.0126
5.82,-0.0621,-0.21,-0.0744,-0.2086,0.0124
5.85,-0.0526,-0.2107,-0.0647,-0.2096,0.0121
5.88,-0.043,-0.2111,-0.0548,-0.2103,0.0118
5.91,-0.0332,-0.2112,-0.0447,-0.2108,0.0116
5.94,-0.0232,-0.2111,-0.0345,-0.211,0.0113
5.97,-0.0132,-0.2106,-0.0242,-0.2109,0.011
6.0,-0.0031,-0.2098,-0.0138,-0.2104,0.0107
6.03,0.0071,-0.2088,-0.0032,-0.2097,0.0104
6.06,0.0174,-0.2074,0.0073,-0.2086,0.0101
6.09,0.0277,-0.2056,0.0179,-0.2071,0.0098
6.12,0.0379,-0.2036,0.0286,-0.2053,0.0095
6.15,0.0482,-0.2012,0.0392,-0.2032,0.0092
6.18,0.0584,-0.1985,0.0498,-0.2008,0.0089
6.21,0.0686,-0.1955,0.0603,-0.198,0.0086
6.24,0.0787,-0.1921,0.0708,-0.1948,0.0083
6.27,0.0887,-0.1885,0.0812,-0.1913,0.008
6.3,0.0986,-0.1845,0.0915,-0.1875,0.0077
6.33,0.1083,-0.1802,0.1016,-0.1834,0.0074
6.36,0.1179,-0.1756,0.1116,-0.179,0.0071
6.39,0.1273,-0.1708,0.1214,-0.1743,0.0068
6.42,0.1365,-0.1656,0.1311,-0.1692,0.0065
6.45,0.1455,-0.1603,0.1405,-0.1639,0.0062
6.48,0.1542,-0.1546,0.1497,-0.1584,0.0059
6.51,0.1627,-0.1488,0.1586,-0.1526,0.0056
6.54,0.171,-0.1428,0.1673,-0.1466,0.0053
6.57,0.179,-0.1365,0.1757,-0.1404,0.005
6.6,0.1867,-0.1301,0.1839,-0.1339,0.0047
6.63,0.1942,-0.1236,0.1918,-0.1274,0.0045
6.66,0.2014,-0.1169,0.1993,-0.1206,0.0042
6.69,0.2082,-0.1101,0.2066,-0.1138,0.004
6.72,0.2148,-0.1032,0.2136,-0.1068,0.0037
6.75,0.2211,-0.0963,0.2202,-0.0997,0.0035
6.78,0.227,-0.0893,0.2266,-0.0926,0.0033
6.81,0.2327,-0.0823,0.2326,-0.0855,0.0032
6.84,0.238,-0.0753,0.2383,-0.0783,0.003
6.87,0.2431,-0.0682,0.2438,-0.0711,0.0029
6.9,0.2478,-0.0613,0.2489,-0.0639,0.0029
6.93,0.2523,-0.0543,0.2537,-0.0568,0.0028
6.96,0.2565,-0.0475,0.2582,-0.0497,0.0028
6.99,0.2604,-0.0407,0.2624,-0.0428,0.0029
7.02,0.264,-0.034,0.2663,-0.0359,0.0029
7.05,0.2674,-0.0275,0.27,-0.0291,0.003
7.08,0.2705,-0.021,0.2734,-0.0224,0.0032
7.11,0.2734,-0.0148,0.2765,-0.0159,0.0033
7.14,0.276,-0.0087,0.2794,-0.0095,0.0035
7.17,0.2785,-0.0027,0.2821,-0.0034,0.0037
7.2,0.2807,0.003,0.2845,0.0026,0.0039
7.23,0.2827,0.0085,0.2867,0.0084,0.0041
7.26,0.2845,0.0138,0.2888,0.014,0.0043
7.29,0.2862,0.0189,0.2906,0.0194,0.0045
7.32,0.2876,0.0238,0.2923,0.0245,0.0047
7.35,0.2889,0.0284,0.2938,0.0294,0.0049
7.38,0.2901,0.0328,0.2951,0.0341,0.0051
7.41,0.2912,0.0369,0.2963,0.0385,0.0054
7.44,0.2921,0.0408,0.2974,0.0426,0.0056
7.47,0.2929,0.0444,0.2983,0.0465,0.0058
7.5,0.2936,0.0477,0.2991,0.0501,0.006
7.53,0.2942,0.0508,0.2999,0.0534,0.0063
7.56,0.2947,0.0536,0.3005,0.0565,0.0065
7.59,0.2951,0.0561,0.3011,0.0592,0.0067
7.62,0.2955,0.0583,0.3015,0.0617,0.0069
7.65,0.2958,0.0602,0.3019,0.0639,0.0072
7.68,0.296,0.0618,0.3022,0.0658,0.0074
7.71,0.2962,0.0631,0.3025,0.0673,0.0076
7.74,0.2963,0.0642,0.3027,0.0686,0.0078
7.77,0.2964,0.0649,0.3029,0.0696,0.008
7.8,0.2964,0.0654,0.303,0.0703,0.0082
7.83,0.2964,0.0656,0.3031,0.0707,0.0084
7.86,0.2963,0.0654,0.3031,0.0708,0.0086
7.89,0.2962,0.065,0.303,0.0706,0.0089
7.92,0.296,0.0643,0.303,0.0701,0.0091
7.95,0.2958,0.0633,0.3028,0.0693,0.0093
7.98,0.2955,0.0619,0.3027,0.0682,0.0095
8.01,0.2952,0.0603,0.3024,0.0667,0.0097
8.04,0.2948,0.0584,0.3021,0.065,0.0099
8.07,0.2943,0.0562,0.3018,0.063,0.0101
8.1,0.2938,0.0538,0.3013,0.0607,0.0103
8.13,0.2932,0.051,0.3008,0.0582,0.0105
8.16,0.2925,0.048,0.3003,0.0553,0.0107
8.19,0.2917,0.0447,0.2996,0.0521,0.0108
8.22,0.2908,0.0411,0.2988,0.0487,0.011
8.25,0.2898,0.0372,0.298,0.045,0.0112
8.28,0.2887,0.0331,0.297,0.041,0.0114
8.31,0.2875,0.0287,0.2958,0.0368,0.0116
8.34,0.2861,0.0241,0.2946,0.0323,0.0118
8.37,0.2845,0.0192,0.2932,0.0275,0.012
8.4,0.2828,0.0141,0.2916,0.0225,0.0122
8.43,0.2809,0.0088,0.2899,0.0173,0.0124
8.46,0.2788,0.0032,0.288,0.0118,0.0126
8.49,0.2765,-0.0025,0.2859,0.0061,0.0127
8.52,0.274,-0.0085,0.2836,0.0003,0.0129
8.55,0.2713,-0.0146,0.281,-0.0058,0.0131
8.58,0.2684,-0.0209,0.2783,-0.0121,0.0133
8.61,0.2652,-0.0274,0.2753,-0.0185,0.0135
8.64,0.2617,-0.034,0.2721,-0.0251,0.0137
8.67,0.258,-0.0407,0.2686,-0.0318,0.0138
8.7,0.254,-0.0476,0.2648,-0.0386,0.014
8.73,0.2497,-0.0545,0.2607,-0.0456,0.0142
8.76,0.2452,-0.0615,0.2564,-0.0526,0.0144
8.79,0.2403,-0.0686,0.2518,-0.0597,0.0145
8.82,0.2351,-0.0757,0.2469,-0.0668,0.0147
8.85,0.2297,-0.0828,0.2416,-0.074,0.0149
8.88,0.2239,-0.0899,0.2361,-0.0812,0.015
8.91,0.2178,-0.097,0.2302,-0.0883,0.0152
8.94,0.2114,-0.1041,0.2241,-0.0955,0.0153
8.97,0.2047,-0.1111,0.2176,-0.1026,0.0155
9.0,0.1976,-0.118,0.2108,-0.1096,0.0156
9.03,0.1903,-0.1247,0.2037,-0.1165,0.0158
9.06,0.1826,-0.1314,0.1963,-0.1233,0.0159
9.09,0.1747,-0.1379,0.1887,-0.13,0.016
9.12,0.1665,-0.1443,0.1807,-0.1365,0.0162
9.15,0.1579,-0.1504,0.1724,-0.1429,0.0163
9.18,0.1492,-0.1563,0.1639,-0.149,0.0164
9.21,0.1401,-0.1621,0.1551,-0.1549,0.0165
9.24,0.1308,-0.1675,0.146,-0.1606,0.0166
9.27,0.1213,-0.1727,0.1367,-0.1661,0.0168
9.3,0.1116,-0.1776,0.1272,-0.1713,0.0169
9.33,0.1017,-0.1823,0.1175,-0.1762,0.017
9.36,0.0916,-0.1866,0.1076,-0.1808,0.017
9.39,0.0814,-0.1906,0.0976,-0.1851,0.0171
9.42,0.071,-0.1943,0.0874,-0.1891,0.0172
9.45,0.0605,-0.1977,0.0771,-0.1928,0.0173
9.48,0.0499,-0.2007,0.0666,-0.1961,0.0173
9.51,0.0392,-0.2034,0.0561,-0.1991,0.0174
9.54,0.0285,-0.2057,0.0455,-0.2018,0.0175
9.57,0.0178,-0.2077,0.0349,-0.2041,0.0175
9.6,0.0071,-0.2093,0.0243,-0.2061,0.0175
9.63,-0.0037,-0.2106,0.0137,-0.2077,0.0176
9.66,-0.0143,-0.2116,0.0031,-0.209,0.0176
9.69,-0.025,-0.2122,-0.0075,-0.21,0.0176
9.72,-0.0355,-0.2125,-0.018,-0.2106,0.0176
9.75,-0.0459,-0.2124,-0.0283,-0.211,0.0176
9.78,-0.0562,-0.2121,-0.0386,-0.211,0.0176
9.81,-0.0664,-0.2114,-0.0488,-0.2107,0.0176
9.84,-0.0764,-0.2105,-0.0588,-0.2101,0.0176
9.87,-0.0862,-0.2092,-0.0686,-0.2092,0.0176
9.9,-0.0958,-0.2078,-0.0783,-0.2081,0.0176
9.93,-0.1053,-0.206,-0.0877,-0.2067,0.0176
9.96,-0.1145,-0.2041,-0.097,-0.2051,0.0175
9.99,-0.1234,-0.2019,-0.106,-0.2032,0.0175
10.02,-0.1321,-0.1996,-0.1148,-0.2012,0.0174
10.05,-0.1406,-0.1971,-0.1233,-0.199,0.0174
10.08,-0.1488,-0.1944,-0.1316,-0.1966,0.0173
10.11,-0.1567,-0.1916,-0.1396,-0.1941,0.0173
10.14,-0.1643,-0.1886,-0.1474,-0.1915,0.0172
10.17,-0.1717,-0.1856,-0.1548,-0.1887,0.0171
10.2,-0.1787,-0.1825,-0.162,-0.1859,0.017
10.23,-0.1855,-0.1793,-0.1689,-0.183,0.017
10.26,-0.192,-0.1761,-0.1755,-0.18,0.0169
10.29,-0.1981,-0.1729,-0.1819,-0.177,0.0168
10.32,-0.204,-0.1696,-0.1879,-0.174,0.0167
10.35,-0.2096,-0.1664,-0.1936,-0.171,0.0166
10.38,-0.2149,-0.1632,-0.1991,-0.168,0.0165
10.41,-0.2199,-0.1601,-0.2043,-0.165,0.0164
10.44,-0.2246,-0.157,-0.2091,-0.1621,0.0163
10.47,-0.229,-0.154,-0.2137,-0.1593,0.0162
10.5,-0.2331,-0.1511,-0.218,-0.1565,0.016
10.53,-0.237,-0.1483,-0.222,-0.1538,0.0159
10.56,-0.2405,-0.1456,-0.2258,-0.1512,0.0158
10.59,-0.2438,-0.143,-0.2293,-0.1488,0.0157
10.62,-0.2469,-0.1406,-0.2325,-0.1464,0.0156
10.65,-0.2496,-0.1383,-0.2354,-0.1443,0.0154
10.68,-0.2521,-0.1362,-0.2381,-0.1422,0.0153
10.71,-0.2544,-0.1342,-0.2405,-0.1403,0.0152
10.74,-0.2564,-0.1325,-0.2427,-0.1386,0.015
10.77,-0.2581,-0.1309,-0.2446,-0.1371,0.0149
10.8,-0.2597,-0.1295,-0.2463,-0.1357,0.0148
10.83,-0.2609,-0.1283,-0.2477,-0.1345,0.0146
10.86,-0.262,-0.1273,-0.2489,-0.1335,0.0145
10.89,-0.2627,-0.1265,-0.2498,-0.1327,0.0143
10.92,-0.2633,-0.1259,-0.2506,-0.1321,0.0142
10.95,-0.2636,-0.1255,-0.251,-0.1317,0.014
10.98,-0.2637,-0.1253,-0.2513,-0.1315,0.0139
11.01,-0.2636,-0.1254,-0.2513,-0.1315,0.0137
11.04,-0.2632,-0.1256,-0.251,-0.1317,0.0136
11.07,-0.2626,-0.1261,-0.2506,-0.1321,0.0134
11.1,-0.2618,-0.1267,-0.2499,-0.1327,0.0133
11.13,-0.2607,-0.1276,-0.2489,-0.1335,0.0131
11.16,-0.2594,-0.1287,-0.2478,-0.1345,0.013
11.19,-0.2578,-0.1299,-0.2463,-0.1356,0.0128
11.22,-0.256,-0.1314,-0.2447,-0.137,0.0127
11.25,-0.254,-0.133,-0.2428,-0.1385,0.0125
11.28,-0.2517,-0.1349,-0.2406,-0.1403,0.0123
11.31,-0.2492,-0.1369,-0.2382,-0.1421,0.0122
11.34,-0.2464,-0.139,-0.2355,-0.1442,0.012
11.37,-0.2433,-0.1414,-0.2326,-0.1464,0.0118
11.4,-0.24,-0.1438,-0.2294,-0.1487,0.0117
11.43,-0.2364,-0.1464,-0.2259,-0.1511,0.0115
11.46,-0.2325,-0.1492,-0.2222,-0.1537,0.0113
11.49,-0.2284,-0.152,-0.2182,-0.1564,0.0111
11.52,-0.224,-0.1549,-0.2139,-0.1591,0.011
11.55,-0.2193,-0.1579,-0.2093,-0.162,0.0108
11.58,-0.2143,-0.161,-0.2044,-0.1649,0.0106
11.61,-0.209,-0.1642,-0.1993,-0.1679,0.0104
11.64,-0.2034,-0.1673,-0.1939,-0.1709,0.0102
11.67,-0.1976,-0.1705,-0.1881,-0.1739,0.01
11.7,-0.1914,-0.1737,-0.1821,-0.1769,0.0098
11.73,-0.185,-0.1769,-0.1758,-0.1799,0.0096
11.76,-0.1782,-0.1801,-0.1692,-0.1829,0.0094
11.79,-0.1712,-0.1832,-0.1623,-0.1858,0.0092
11.82,-0.1638,-0.1862,-0.1551,-0.1886,0.009
11.85,-0.1562,-0.1892,-0.1477,-0.1914,0.0088
11.88,-0.1483,-0.192,-0.1399,-0.194,0.0086
11.91,-0.1401,-0.1948,-0.1319,-0.1965,0.0084
11.94,-0.1317,-0.1973,-0.1236,-0.1989,0.0082
11.97,-0.1229,-0.1997,-0.1151,-0.2011,0.0079
12.0,-0.114,-0.202,-0.1063,-0.2032,0.0077
12.03,-0.1047,-0.204,-0.0973,-0.205,0.0075
12.06,-0.0953,-0.2058,-0.0881,-0.2066,0.0073
12.09,-0.0856,-0.2073,-0.0786,-0.208,0.007
12.12,-0.0758,-0.2087,-0.069,-0.2092,0.0068
12.15,-0.0657,-0.2097,-0.0592,-0.21,0.0066
12.18,-0.0555,-0.2105,-0.0492,-0.2106,0.0063
12.21,-0.0451,-0.2109,-0.039,-0.2109,0.0061
12.24,-0.0346,-0.2111,-0.0287,-0.211,0.0058
12.27,-0.0239,-0.2109,-0.0184,-0.2107,0.0056
12.3,-0.0132,-0.2104,-0.0079,-0.21,0.0053
12.33,-0.0024,-0.2096,0.0027,-0.2091,0.0051
12.36,0.0085,-0.2084,0.0133,-0.2078,0.0048
12.39,0.0194,-0.2069,0.0239,-0.2062,0.0046
12.42,0.0303,-0.205,0.0345,-0.2042,0.0043
12.45,0.0412,-0.2028,0.0451,-0.2019,0.004
12.48,0.0521,-0.2002,0.0557,-0.1992,0.0038
12.51,0.0629,-0.1972,0.0662,-0.1962,0.0035
12.54,0.0736,-0.194,0.0767,-0.1929,0.0032
12.57,0.0842,-0.1903,0.087,-0.1893,0.003
12.6,0.0947,-0.1864,0.0972,-0.1853,0.0027
12.63,0.105,-0.1821,0.1072,-0.181,0.0025
12.66,0.1152,-0.1774,0.1171,-0.1764,0.0022
12.69,0.1252,-0.1725,0.1269,-0.1715,0.0019
12.72,0.135,-0.1673,0.1364,-0.1663,0.0017
12.75,0.1446,-0.1618,0.1457,-0.1609,0.0014
12.78,0.154,-0.1561,0.1547,-0.1552,0.0012
12.81,0.1631,-0.1501,0.1635,-0.1492,0.001
12.84,0.1719,-0.1439,0.1721,-0.1431,0.0008
12.87,0.1804,-0.1374,0.1804,-0.1368,0.0007
12.9,0.1887,-0.1308,0.1883,-0.1303,0.0007
12.93,0.1967,-0.124,0.1961,-0.1236,0.0008
12.96,0.2043,-0.1171,0.2035,-0.1168,0.0009
12.99,0.2117,-0.1101,0.2106,-0.1099,0.0011
13.02,0.2187,-0.1029,0.2174,-0.1029,0.0014
13.05,0.2255,-0.0957,0.2238,-0.0958,0.0016
13.08,0.2319,-0.0883,0.23,-0.0886,0.0019
13.11,0.2379,-0.081,0.2359,-0.0814,0.0021
13.14,0.2437,-0.0736,0.2414,-0.0743,0.0024
13.17,0.2492,-0.0663,0.2467,-0.0671,0.0026
13.2,0.2543,-0.0589,0.2516,-0.0599,0.0029
13.23,0.2591,-0.0516,0.2562,-0.0528,0.0031
13.26,0.2637,-0.0444,0.2606,-0.0458,0.0034
13.29,0.2679,-0.0373,0.2646,-0.0389,0.0036
13.32,0.2719,-0.0302,0.2684,-0.032,0.0039
13.35,0.2755,-0.0233,0.2719,-0.0253,0.0041
13.38,0.2789,-0.0165,0.2752,-0.0187,0.0044
13.41,0.2821,-0.0098,0.2782,-0.0123,0.0046
13.44,0.285,-0.0034,0.2809,-0.0061,0.0049
13.47,0.2877,0.0029,0.2835,0.0,0.0051
13.5,0.2901,0.0091,0.2858,0.0059,0.0053
13.53,0.2924,0.015,0.2879,0.0116,0.0056
13.56,0.2944,0.0207,0.2898,0.0171,0.0058
13.59,0.2962,0.0261,0.2916,0.0223,0.006
